TypeNew,StatecodeNew,finance_rate,finance_charges,credit_rating,finance_amount,avarage_emi,noir,noisb,gih,gis,gic
0,1,8.33,"10,410.00",1,"50,000.00","2,014.00",38,14,"2,000.00",,
0,12,9.02,"5,952.00",1,"33,000.00","1,623.00",38,6,"12,095.00",0,0
0,12,9.02,"5,952.00",1,"33,000.00","1,623.00",33,13,"2,000.00",0,0
0,12,9,"6,480.00",1,"36,000.00","1,770.00",29,14,"7,000.00",0,0
0,12,9,"5,400.00",1,"30,000.00","1,475.00",23,4,"2,000.00",0,0
0,12,8.97,"6,280.00",1,"35,000.00","1,720.00",13,14,"2,000.00",0,0
0,12,9.02,"4,872.00",1,"27,000.00","1,328.00",43,14,"12,046.00",0,0
0,12,9.01,"5,048.00",1,"28,000.00","1,377.00",33,20,"7,000.00",0,0
0,1,8.33,"8,497.00",1,"34,000.00","1,181.00",35,16,"2,000.00",0,0
0,1,8.99,"11,055.00",1,"41,000.00","1,446.00",63,4,"2,000.00",0,0
0,1,8.3,"4,980.00",1,"24,000.00",966,5,11,"2,000.00",0,0
0,1,8.33,"10,246.00",1,"41,000.00","1,424.00",4,6,"2,000.00",0,"3,000.00"
0,1,7.7,"4,851.00",1,"31,500.00","1,515.00",5,11,"2,000.00",0,0
0,1,7.25,"3,916.00",1,"27,000.00","1,288.00",13,9,"16,517.00",0,0
0,1,8.33,"8,870.00",1,"35,500.00","1,233.00",4,28,"20,344.00",0,0
0,1,6,"3,000.00",1,"25,000.00","1,167.00",18,4,"9,700.00",0,0
0,1,8,"7,400.00",1,"37,000.00","1,480.00",6,11,"2,000.00",0,0
0,1,10.3,"12,047.00",1,"39,000.00","1,418.00",23,4,"2,000.00",0,0
0,1,7.7,"5,698.00",1,"37,000.00","1,779.00",4,4,"2,000.00",0,0
0,1,5.99,"5,511.00",1,"46,000.00","2,146.00",23,4,"2,000.00",0,0
0,1,10,"9,750.00",1,"39,000.00","1,625.00",23,10,"2,000.00",0,0
0,1,9.01,"11,351.00",1,"42,000.00","1,482.00",39,10,"2,000.00",0,0
0,1,7.5,"5,550.00",1,"37,000.00","1,773.00",8,10,"22,000.00",0,0
